Source,Target,Weight
CORVUS GLAIVE,THANOS,1
CORVUS GLAIVE,TONY,1
CORVUS GLAIVE,WANDA,1
GROOT,PEPPER POTTS,1
GROOT,PETER,1
GROOT,ROCKET,2
GROOT,SAM WILSON,1
GROOT,STEVE,1
GROOT,STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,1
GROOT,THANOS,1
GROOT,TONY,1
GROOT,WANDA,1
PEPPER POTTS,PETER,2
PEPPER POTTS,ROCKET,1
PEPPER POTTS,SAM WILSON,1
PEPPER POTTS,STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,1
PEPPER POTTS,THANOS,2
PEPPER POTTS,WANDA,1
PETER,ROCKET,1
PETER,SAM WILSON,1
PETER,STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,1
PETER,WANDA,1
ROCKET,SAM WILSON,1
ROCKET,STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,1
ROCKET,WANDA,1
SAM WILSON,STEVE,2
SAM WILSON,STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,1
SAM WILSON,THANOS,1
SAM WILSON,TONY,1
SAM WILSON,WANDA,1
STEVE,STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,1
STEVE,WANDA,1
STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,THANOS,1
STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,TONY,1
STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,WANDA,1
THANOS,WANDA,1
TONY,WANDA,1
CAPTAIN MARVEL,OKOYE,1
CAPTAIN MARVEL,PEPPER POTTS,1
CAPTAIN MARVEL,PETER,1
CAPTAIN MARVEL,QUILL,1
CAPTAIN MARVEL,SCOTT,1
CAPTAIN MARVEL,THANOS PULLS THE POWER STONE FROM ITS HOUSING AND PUNCHES,1
OKOYE,PEPPER POTTS,1
OKOYE,PETER,1
OKOYE,QUILL,1
OKOYE,SCOTT,1
OKOYE,THANOS,1
OKOYE,THANOS PULLS THE POWER STONE FROM ITS HOUSING AND PUNCHES,1
OKOYE,TONY,1
PEPPER POTTS,QUILL,1
PEPPER POTTS,SCOTT,1
PEPPER POTTS,THANOS PULLS THE POWER STONE FROM ITS HOUSING AND PUNCHES,1
PETER,THANOS PULLS THE POWER STONE FROM ITS HOUSING AND PUNCHES,1
QUILL,THANOS PULLS THE POWER STONE FROM ITS HOUSING AND PUNCHES,1
SCOTT,THANOS PULLS THE POWER STONE FROM ITS HOUSING AND PUNCHES,1
THANOS,THANOS PULLS THE POWER STONE FROM ITS HOUSING AND PUNCHES,1
THANOS PULLS THE POWER STONE FROM ITS HOUSING AND PUNCHES,TONY,1
CLINT,WANDA,1
HAPPY HOGAN,MORGAN STARK,1
DRAX,GROOT,1
DRAX,MANTIS,1
DRAX,NEBULA,1
DRAX,QUILL,1
DRAX,ROCKET,1
DRAX,THOR,1
GROOT,MANTIS,1
GROOT,NEBULA,1
GROOT,QUILL,1
GROOT,THOR,1
MANTIS,NEBULA,1
MANTIS,QUILL,1
MANTIS,ROCKET,1
MANTIS,THOR,1
QUILL,ROCKET,1
BANNER,BUCKY BARNES,1
BANNER,OLD STEVE,1
BANNER,SAM WILSON,1
BUCKY BARNES,OLD STEVE,1
BUCKY BARNES,SAM WILSON,1
BUCKY BARNES,STEVE,1
OLD STEVE,SAM WILSON,1
OLD STEVE,STEVE,1
